,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Time_Category
898,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,morning
899,Monday,18-30,Male,High school,Employee,Above 10yr,Automobile,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,night
900,Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,night
901,Saturday,18-30,Female,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,evening
902,Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,evening
903,Wednesday,31-50,Unknown,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,evening
904,Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,evening
905,Thursday,Unknown,Female,Junior high school,Employee,1-2yr,Stationwagen,Owner,Other,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
906,Thursday,18-30,Male,Junior high school,Owner,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
907,Friday,18-30,Male,High school,Owner,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Driving carelessly,Slight Injury,night
908,Monday,18-30,Male,Junior high school,Owner,Below 1yr,Pick up upto 10Q,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,morning
909,Friday,31-50,Male,Writing & reading,Owner,5-10yr,Motorcycle,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Overtaking,Serious Injury,morning
910,Friday,31-50,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Serious Injury,morning
911,Saturday,Unknown,Female,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving to the left,Serious Injury,night
912,Saturday,18-30,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Driving at high speed,Serious Injury,night
913,Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Unknown,Serious Injury,afternoon
914,Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,afternoon
915,Wednesday,Unknown,Female,Junior high school,Employee,Above 10yr,Taxi,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Unknown,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,evening
916,Wednesday,31-50,Male,Junior high school,Employee,No Licence,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Other,Serious Injury,evening
917,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,Over 51,2,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
918,Saturday,31-50,Male,Illiterate,Owner,1-2yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,afternoon
919,Saturday,18-30,Male,Junior high school,Owner,Below 1yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Serious Injury,afternoon
920,Friday,Over 51,Male,Junior high school,Owner,1-2yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Serious Injury,afternoon
921,Friday,18-30,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Office areas,Double carriageway (median),Gentle horizontal curve,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,Over 51,1,Not a Pedestrian,Driving carelessly,Serious Injury,afternoon
922,Friday,Over 51,Male,Unknown,Owner,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
923,Friday,31-50,Male,Unknown,Owner,Above 10yr,Other,Organization,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
924,Friday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Turnover,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
925,Friday,31-50,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
926,Friday,31-50,Male,Writing & reading,Owner,5-10yr,Lorry (11?40Q),Governmental,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
927,Saturday,Under 18,Male,Junior high school,Owner,2-5yr,Long lorry,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Fatal injury,night
928,Saturday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Fatal injury,night
929,Saturday,Under 18,Male,Junior high school,Owner,Below 1yr,Taxi,Owner,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Fatal injury,night
930,Saturday,18-30,Male,Junior high school,Owner,2-5yr,Taxi,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,3,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Fatal injury,night
931,Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Male,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,afternoon
932,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
933,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
934,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
935,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Turbo,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
936,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,No distancing,Serious Injury,evening
937,Saturday,Over 51,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,na,na,na,na,Not a Pedestrian,Moving Backward,Serious Injury,evening
938,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Moving Backward,Serious Injury,evening
939,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Rollover,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,morning
940,Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,morning
941,Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,Female,Under 18,3,Unknown or other,No distancing,Slight Injury,morning
942,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,night
943,Thursday,18-30,Unknown,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,night
944,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,night
945,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,evening
946,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
947,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
948,Saturday,31-50,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
949,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,Other,Slight Injury,evening
950,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
951,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
952,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Parked,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,morning
953,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,evening
954,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overturning,Slight Injury,afternoon
955,Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,afternoon
956,Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
957,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
958,Tuesday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
959,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Turnover,Driver or rider,Male,Under 18,3,Not a Pedestrian,Other,Slight Injury,afternoon
960,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,18-30,3,Unknown or other,Other,Slight Injury,evening
961,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Moving Backward,Serious Injury,afternoon
962,Thursday,31-50,Male,Writing & reading,Employee,Below 1yr,Special vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Serious Injury,afternoon
963,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,morning
964,Friday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
965,Friday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Governmental,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
966,Friday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,morning
967,Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,evening
968,Wednesday,31-50,Male,High school,Employee,2-5yr,Automobile,Governmental,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
969,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Unknown,Passenger,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,evening
970,Friday,Over 51,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
971,Friday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,morning
972,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,3,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
973,Tuesday,31-50,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
974,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Reversing,Passenger,Female,Under 18,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,morning
975,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
976,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
977,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Bicycle,Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Turnover,Slight Injury,evening
978,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Not a Pedestrian,Driving to the left,Serious Injury,evening
979,Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Serious Injury,evening
980,Sunday,Under 18,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving to the left,Serious Injury,evening
981,Thursday,Over 51,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
982,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Special vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
983,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,evening
